,item_id,value
0,1000,54380.707
1,100000,16.465105
2,100001,24.986725
3,100002,34.30623
4,100003,39.422367
5,100004,33.20456
6,100005,51.225983
7,100006,35.43613
8,100007,87.53788
9,100008,19.426342
10,100009,55.887283
11,10001,18.414343
12,100010,44.813396
13,100011,2.2773201
14,100012,51.41505
15,100013,25.208426
16,100014,30.419518
17,100015,107.70281
18,100016,74.8984
19,100017,35.511467
20,100018,31.112295
21,100019,25.282417
22,10002,33.3231
23,100020,25.33828
24,100021,60.551064
25,100022,20.966482
26,100023,34.22433
27,100024,31.013378
28,100025,25.376095
29,100026,26.793535
30,100027,47.665855
31,100028,46.23673
32,100029,30.178333
33,10003,28.856232
34,100030,55.379013
35,100031,25.839869
36,100032,47.55693
37,100033,31.50331
38,100034,21.50257
39,100035,41.50077
40,100036,43.87963
41,100037,49.103786
42,100038,37.868416
43,100039,33.264614
44,10004,13.99624
45,100040,66.09697
46,100041,36.905807
47,100042,32.48285
48,100043,0.24054314
49,100044,10.165016
50,100045,31.055147
51,100046,37.817825
52,100047,7.2635455
53,100048,69.52261
54,100049,38.738018
55,10005,5.905729
56,100050,179.74373
57,100051,26.993464
58,100052,52.897263
59,100053,19.004375
60,100054,39.76559
61,100055,26.626598
62,100056,39.50463
63,100057,14.471795
64,100058,69.16939
65,100059,45.583473
66,10006,23.844978
67,100060,39.136623
68,100061,15.052873
69,100062,27.831608
70,100063,25.190336
71,100064,22.94534
72,100065,45.794186
73,100066,29.16461
74,100067,35.729588
75,100068,46.954372
76,100069,15.515835
77,10007,1.0068417
78,100070,44.904823
79,100071,14.746608
80,100072,36.487286
81,100073,12.03514
82,100074,34.274364
83,100075,36.566204
84,100076,24.86143
85,100077,0.16761172
86,100078,55.230118
87,100079,0.33490655
88,10008,4.2426786
89,100080,17.45268
90,100081,2.8188715
91,100082,72.03535
92,100083,12.2302
93,100084,38.04971
94,100085,0.012405273
95,100086,37.600292
96,100087,66.634384
97,100088,34.29892
98,100089,29.342882
99,10009,6.6877747
100,100090,56.914093
101,100091,34.40049
102,100092,31.532991
103,100093,28.063318
104,100094,40.83298
105,100095,5.049557
106,100096,1.6943856
107,100097,41.91762
108,100098,29.070477
109,100099,17.402554
110,1001,204.30927
111,10010,46.978024
112,100100,28.833405
113,100101,31.589163
114,100102,4.6796465
115,100103,45.916412
116,100104,71.50025
117,100105,52.334606
118,100106,36.006695
119,100107,37.49152
120,100108,46.144375
121,100109,18.56215
122,10011,34.07625
123,100110,67.11542
124,100111,22.095354
